
 Berryfield Apartments,None,None,Ms. Annette Wooley,Phone: ,(479) 717-2674,None,None,None,berryfield@ferguson-apts.com,Fax:  ,(479) 717-2675,None,None,None,https://www.berryfieldapartments.com/,None,None,"2353 Lowell Rd. Springdale, AR 72764",None,None
"LRD Construction, LLC",None,None,Ms. Sandy DuFrene,Phone: ,(479) 750-4422,None,None,None,sandy.lrdconst@outlook.com,Fax:  ,(479) 750-4422,None,None,None,http://www.lrdconstruction.com,None,None,"16670 East Hwy. 412 Springdale, AR 72764",None,None
Oelke Construction,None,None,Ms. Sydney Thacker,Phone: ,(479) 361-8960,None,None,None,sthacker@oelkeconstruction.org,Fax:  ,None,None,None,None,http://www.oelkeconstruction.org,None,None,"710 NW Highfill St., Ste. 101 Gentry, AR 72734",None,None
Ross Construction Group,None,None,Mr. Matt Pennington,Phone: ,(479) 841-6508,None,None,None,rcgoffice@rosscgllc.com,Fax:  ,None,None,None,None,http://www.rosscgllc.com,None,None,"3100 East Division St. Springfield, MO 65802",None,None
Seven Valleys Construction Co.,None,None,Mr. Bobby Ennes,Phone: ,(417) 236-2091,None,None,None,sevenvalleys2003@yahoo.com,Fax:  ,None,None,None,None,http://www.sevenvalleysgas.com/,None,None,"P.O. Box 88 Cassville, MO 65625",None,None
"Able Electric, Inc.",None,None,Mr. Joey Lipe,Phone: ,(479) 419-9954,joey@ableelectric1.com,Fax:  ,None,None,None,None,https://ableelectric.business.site/,None,None,"4400 Catherine St. Springdale, AR 72765",None,None,None,None,None
Clark Contractors LLC,None,None,Mr. Jacob Jacks,Phone: ,(479) 268-6282,None,None,None,jjacks@clarkcontractors.net,Fax:  ,None,None,None,None,http://www.clarkcontractors.net,None,None,"4300 South JB Hunt Drive, Ste. 100 Rogers, AR 72758",None,None
"Foster Roofing, Inc.",None,None,Mr. Doug McConnell,Phone: ,(479) 751-2300,None,None,None,doug@roofwithfoster.com,Fax:  ,(479) 751-0187,None,None,None,http://www.roofwithfoster.com,None,None,"3357 Wagon Wheel Rd. Springdale, AR 72762",None,None
Gold Mechanical,None,None,Ms. Carla Ruark,Phone: ,(479) 472-3245,None,None,None,cruark@goldmechanical.com,Fax:  ,None,None,None,None,http://www.goldmechanical.com,None,None,"1107 B Shaver Dr. Springdale, AR 72762",None,None
Hugg & Hall Equipment,None,None,Cindy Hugg-Larson,Phone: ,(479) 361-1262,cindy.hugg@hugghall.com,Fax:  ,(479) 361-1045,None,None,None,http://www.hugghall.com,None,None,"331 Agnes Dr. Springdale, AR 72762",None,None,None,None,None
"MCC Service, Inc.",None,None,Mr. Michael Jones,Phone: ,(479) 751-7411,mwj@@multi-craft.net,Fax:  ,(479) 751-0316,"2300 Lowell Rd. Springdale, AR 72764",None,None,None,None,None,"Multi Craft Contractors, Inc.",None,None,Hex Bisbee,Phone: ,(479) 751-4330
"Multi Craft Contractors, Inc.",None,None,Hex Bisbee,Phone: ,(479) 751-4330,hex@multi-craft.net,Fax:  ,(479) 751-4399,None,None,None,https://multi-craft.net/,None,None,"2300 North Lowell Rd. Springdale, AR 72764-0000",None,None,None,None,None
"Northwest Controls Systems, Inc.",None,None,Mr. Anthony Lyons,Phone: ,(479) 872-9000,andy.lyons@nwcontrols.com,Fax:  ,(479) 756-9866,None,None,None,http://www.nwcontrols.com,None,None,"3241 West Huntsville Ave. Springdale, AR 72762",None,None,None,None,None
"Mardis Investments, Inc.",None,None,Mr. Tom Mardis,Phone: ,(479) 619-5430,tmardis11@cox.net,Fax:  ,(479) 273-5489,None,None,None,https://opencorporates.com/companies/us_ar/100191376,None,None,"24 West Pinnacle Dr. Rogers, AR 72758",None,None,None,None,None
Arisa Health,None,None,Mr. Tim Hudson,Phone: ,(479) 750-2020,tim.hudson@arisahealth.org,Fax:  ,(479) 751-2964,None,None,None,https://arisahealth.org/,None,None,"2400 South 48th St. Springdale, AR 72762",None,None,None,None,None
"Community Service, Inc.",None,None,Mrs. Amanda Riddle,Phone: ,(479) 365-7250,None,None,None,ariddle@csiyouth.com,Fax:  ,None,None,None,None,http://www.csiyouth.com,None,None,"3291 South Thompson St., Suites D 102 & 103 Springdale, AR 72764",None,None
Monarch Mental Health Services,None,None,Ms. Rae Gateley,Phone: ,(479) 380-4788,None,None,None,hello@monarchmhs.org,Fax:  ,None,None,None,None,http://www.monarchmhs.org,None,None,"614 East Emma Ave., Ste.13 Springdale, AR 72764",None,None
Perimeter of the Ozarks,None,None,Ms. Sara Loftif,Phone: ,(479) 957-9857,saloftif@perimeterhealthcare.com,Fax:  ,(479) 751-2599,None,None,None,https://www.perimeterhealthcare.com,None,None,"2466 South 48th St., Ste. B Springdale, AR 72762",None,None,None,None,None
Affordable Dentures & Implants,None,None,Mr. Dallas Sorrels,Phone: ,(479) 927-6327,None,None,None,fda11935@affordabledentures.com,Fax:  ,(479) 927-6334,None,None,None,http://www.affordabledentures.com,None,None,"5320 West Sunset Ave., Ste. 154 Springdale, AR 72762",None,None
Dentistry of the Ozarks,None,None,Dr. Patrick Moran,Phone: ,(479) 751-8820,None,None,None,info@dentistryoftheozarks.com,Fax:  ,(479) 751-3117,None,None,None,http://www.dentistryoftheozarks.com,None,None,"418 West Maple Ave. Springdale, AR 72764",None,None
Dr. Richard Roblee Orthodontics,None,None,Dr. Richard Roblee,Phone: ,(479) 521-6060,drroblee@drroblee.com,Fax:  ,(479) 521-4161,None,None,None,https://robleeortho.com/,None,None,"162 East Sunbridge Fayetteville, AR 72703-0000",None,None,None,None,None
" Dr. Dwight D. Duckworth, DDS",None,None,Dr. Dwight Duckworth,Phone: ,(479) 750-0333,Dwight@drduckworthdental.com,Fax:  ,(479)306-6971,None,None,None,http://www.drduckworthdental.com,None,None,"6815 Isaac's Orchard, Ste. A Springdale, AR 72762-0000",None,None,None,None,None
"Kyle Harris, DDS",None,None,Ms. Pam Price,Phone: ,(479) 756-6181,pprice@nwadds.com,Fax:  ,(479) 750-1924,None,None,None,www.springdalefamilydentist.com,None,None,"711 Quandt Ave. Springdale, AR 72764-0000",None,None,None,None,None
Parklane Family Dental,None,None,Mr. Patrick Boze,Phone: ,(479) 379-6300,None,None,None,customercare@parklanedental.com,Fax:  ,(479) 379-6299,None,None,None,http://www.parklanedental.com,None,None,"617 East Emma Ave. Springdale, AR 72764",None,None
Pediatric Dental Associates,None,None,Ms. Katie Eckelhoff,Phone: ,(479) 582-0600,katie@smilesarewild.com,Fax:  ,(479) 443-4630,None,None,None,http://www.smilesarewild.com/,None,None,"1607 East Rainforest Rd. Fayetteville, AR 72703",None,None,None,None,None
"Scott Kimbrough, DDS",None,None,Randal Kimbrough,Phone: ,(479) 751-9899,None,None,None,scott@kimbroughdental.com,Fax:  ,(479) 751-8705,None,None,None,https://kimbroughdental.com/,None,None,"2702 American St. Springdale, AR 72764-0000",None,None
"Smile Center, PA",None,None,Dr. Cory Nichols,Phone: ,(479) 751-8780,None,None,None,info@smilecenterspringdale.com,Fax:  ,(479) 751-0465,None,None,None,https://smilecenterspringdale.com/,None,None,"920 West Emma Ave. Springdale, AR 72764-0000",None,None
Smile Shoppe Pediatric Dentistry,None,None,Mr. Jeffery Rhodes,Phone: ,(479) 631-6377,None,None,None,jrhodes@smile-shoppe.com,Fax:  ,None,None,None,None,http://www.smile-shoppe.com,None,None,"7058 West Sunset, Ste. 9B Springdale, AR 72762",None,None
Springdale Dentures and Implants,None,None,Ms. Andrea Morales,Phone: ,(479) 488-3269,None,None,None,info@springdaledenturesandimplants.com,Fax:  ,(479) 488-3323,None,None,None,http://www.springdaledenturesandimplants.com,None,None,"1333 Arapaho Ave., Ste. B Springdale, AR 72764",None,None
Storms & Swiderski Orthodontics,None,None,Mr. Darrin Storms,Phone: ,(479) 521-8887,None,None,None,dstorms@stormsortho.com,Fax:  ,(479) 521-8889,None,None,None,http://www.stormsortho.com,None,None,"7853 Har-Ber Ave. Springdale, AR 72762",None,None
Stroope Orthodontics,None,None,Dr. Brittany Stroope,Phone: ,(479) 756-9993,None,None,None,stroope.ortho@gmail.com,Fax:  ,(479)756-8887,None,None,None,http://stroopeorthodontics.com/,None,None,"2709 West Huntsville Ave. Springdale, AR 72762",None,None
"Dr. Monte Wheeler, DDS",None,None,Angela Luper,Phone: ,(479) 756-9996,None,None,None,Angela@springdaledds.com,Fax:  ,(479) 756-0050,None,None,None,https://springdaledds.com/,None,None,"7247 Brooklyn Ave. Springdale, AR 72762",None,None
Whitlock Orthodontics,None,None,Boyd Whitlock,Phone: ,(479) 751-1103,None,None,None,boyd@drwhitlock.com,Fax:  ,(479) 751-3213,None,None,None,http://www.drwhitlock.com,None,None,"2890 West Huntsville Ave. Springdale, AR 72762-0000",None,None
San Judas Distributing,None,None,Mr. Gerardo Carcamo,Phone: ,(479) 750-9188,None,None,None,contactus@sanjudasdistributing.com,Fax:  ,None,None,None,None,http://www.sanjudasdistributing.com,None,None,"444 Old Wire Rd., H-1 Springdale, AR 72764",None,None
"Bill's Electric, Inc.",None,None,Mr. Matt Whited,Phone: ,(479) 770-5300,mwhited@beijoplin.com,Fax:  ,(479) 770-5301,None,None,None,http://www.beijoplin.com,None,None,"313 South Lincoln St. Lowell, AR 72745",None,None,None,None,None
Craine's Electric & Drywall,None,None,Ms. Tonya Craine,Phone: ,(479) 750-1672,None,None,None,tonya@craineselectric.net,Fax:  ,None,None,None,None,https://myfavoritebuilder.com/,None,None,"6268 Elm Springs Rd. Elm Springs, AR 72762",None,None
"Marrs Electric, Inc. of Arkansas",None,None,Mr. Kent Rogers,Phone: ,(479) 756-6777,None,None,None,kdrogers@marrselectric-ar.com,Fax:  ,(479) 756-6931,None,None,None,http://www.marrselectric.com,None,None,"701 Kawneer Dr. Springdale, AR 72764",None,None
Mister Sparky,None,None,Ms. Melissa Montiel,Phone: ,(479) 202-4757,None,None,None,accountspayable@sparkyelite.com,Fax:  ,(479) 365-6726,None,None,None,http://mistersparkynwa.com,None,None,"250 Grant Place, Ste. A Lowell, AR 72745",None,None
"Able Electric, Inc.",None,None,Mr. Joey Lipe,Phone: ,(479) 419-9954,joey@ableelectric1.com,Fax:  ,None,None,None,None,https://ableelectric.business.site/,None,None,"4400 Catherine St. Springdale, AR 72765",None,None,None,None,None
AWJ Electric Company,None,None,Ms. Kari Vinson,Phone: ,(479) 301-2888,accounting@awjelectric.com,Fax:  ,(479) 927-6005,None,None,None,www.awjelectric.com,None,None,"1502 Shady Grove Springdale, AR 72764",None,None,None,None,None
Bud Anderson Home Services,None,None,Ms. Debra Bifulco,Phone: ,(479) 927-2700,None,None,None,debra@ba-hvac.com,Fax:  ,None,None,None,None,http://www.ba-hvac.com/,None,None,"524 South Lincoln St. Lowell, AR 72745",None,None
1st Employment Staffing,None,None,Mr. Jason Daugherty,Phone: ,(479) 419-5626,jdaugherty@1stemployment.net,Fax:  ,(479) 419-4914,None,None,None,www.1stemployment.net,None,None,"1275 East Robinson Ave., Ste. 5 Springdale, AR 72764",None,None,None,None,None
Arkansas Department of Workforce Services,None,None,Mr. John Jones,Phone: ,(479) 521-5730,john.jones@arkansas.gov,Fax:  ,(479) 521-1595,None,None,None,http://www.dws.arkansas.gov,None,None,"2153 East Joyce Blvd., #201 Fayetteville, AR 72701",None,None,None,None,None
"ASAP Services, Inc.",None,None,Mr. Micheal Dobbs,Phone: ,(479) 750-2727,michaeld@asapstaffing.com,Fax:  ,(479) 750-2748,None,None,None,http://www.ASAPstaffing.com,None,None,"920 West Johnson Ave. Springdale, AR 72764",None,None,None,None,None
"Drivers Select, Inc.",None,None,Ms. Donna Bohanan,Phone: ,(479) 751-3248,None,None,None,pooleynan@yahoo.com,Fax:  ,None,None,None,None,https://www.driversselectinc.com/contact-us/,None,None,"1112 South 48th St., Ste. F Springdale, AR 72762",None,None
Express Employment Professionals,None,None,Mr. Mike Hoehner,Phone: ,(479) 756-1255,None,None,None,mike.hoehner2@expresspros.com,Fax:  ,(479) 756-3509,None,None,None,http://www.expresspros.com,None,None,"1333 Arapaho, Ste. D-1 Springdale, AR 72764",None,None
Hiring NWA,None,None,Ms. Katie Webb,Phone: ,(719) 646-8027,katie@hiringnwa.com,Fax:  ,None,None,None,None,http://www.hiringnwa.com,None,None,"2086 South Armstrong Fayetteville, AR 72701",None,None,None,None,None
JobSquad,None,None,Mr. Jim Tracy,Phone: ,(479) 419-5569,None,None,None,jtracy@thejobsquad.com,Fax:  ,None,None,None,None, https://www.thejobsquad.com/,None,None,"3896 Elm Springs Rd., Ste. #C Springdale, AR 72762",None,None
Labor Finders,None,None,Mr. Phillip Shackelford,Phone: ,(479) 751-6318,phillip.shackelford@laborfinders.com,Fax:  ,(479) 750-0982,None,None,None,http://www.laborfinders.com,None,None,"1712 West Sunset Ave., Ste. E Springdale, AR 72764-0000",None,None,None,None,None
Northwest Arkansas Economic Development District,None,None,Mr. James Moss,Phone: ,(479) 587-7230,None,None,None,jmoss@nwaedd.org,Fax:  ,None,None,None,None,https://nwaedd.org/,None,None,"2143 West Martin Luther King Blvd. Fayetteville, AR 72701",None,None
Onin Staffing,None,None,Ms. Blanca Peraza,Phone: ,(479) 751-0101,None,None,None,bperaza@oninstaffing.com,Fax:  ,(479) 751-0303,None,None,None,http://www.oninstaffing.com,None,None,"1108 South Old Missouri Rd., Ste. D Springdale, AR 72764",None,None
Penmac Staffing,None,None,Ms. Crystal Vega,Phone: ,(479) 408-4448,crystal.vega@penmac.com,Fax:  ,None,None,None,None,http://www.penmac.com,None,None,"1127 South Gutensohn Rd., Ste. 110 Springdale, AR 72764",None,None,None,None,None
Snelling Staffing,None,None,Ms. Rosey Reyes,Phone: ,(479) 756-3080,None,None,None,rreyes@snelling.com,Fax:  ,(479) 756-6580,None,None,None,https://www.snelling.com/,None,None,"3901 South Thompson Springdale, AR 72764",None,None
My HR Professionals,None,None,Mr. Joseph Lyon,Phone: ,(479) 474-7752,None,None,None,info@myHRpros.com,Fax:  ,None,None,None,None,http://www.myHRprofessionals.com,None,None,"4000 Frontage Rd., Ste. 20 Fayetteville, AR 72703",None,None
Penmac Staffing,None,None,Ms. Crystal Vega,Phone: ,(479) 408-4448,crystal.vega@penmac.com,Fax:  ,None,None,None,None,http://www.penmac.com,None,None,"1127 South Gutensohn Rd., Ste. 110 Springdale, AR 72764",None,None,None,None,None
"Building & Earth Sciences, Inc.",None,None,Mr. Joseph Vistad,Phone: ,(479) 756-1555,None,None,None,mbennett@buildingandearth.com,Fax:  ,None,None,None,None,www.buildingandearth.com,None,None,"3165 Pinewoods Rd. Springdale, AR 72762",None,None
"Burns & McDonnell Engineering Company, Inc.",None,None,Mr. Steven Beam,Phone: ,(479) 841-1338,None,None,None,srbeam@burnsmcd.com,Fax:  ,None,None,None,None,http://www.burnsmcd.com,None,None,"6576 Lynch's Prairie Cove, Ste. B Springdale, AR 72762",None,None
CEI Engineering,None,None,Mr. Brent Massey PE,Phone: ,(479) 273-9472,None,None,None,lgray@ceieng.com,Fax:  ,None,None,None,None,http://www.ceieng.com,None,None,"2600 NE 11th Street, Suite 300 Bentonville, AR 72712-0000",None,None
Crafton Tull,None,None,Mr. Trevor Hensley,Phone: ,(479) 636-4838,trevor.hensley@craftontull.com,Fax:  ,(479) 631-6224,None,None,None,http://www.craftontull.com,None,None,"901 North 47th St., Ste. 400 Rogers, AR 72756",None,None,None,None,None
Cromwell Architects Engineers,None,None,Mr. Josh Danish,Phone: ,(501) 400-1156,None,None,None,jdanish@cromwell.com,Fax:  ,(479) 320-2741,None,None,None,http://www.cromwell.com,None,None,"109 West Emma, Ste. 201 Springdale, AR 72764",None,None
"CS^2 Engineering, Inc.",None,None,Ms. Jennifer Keith,Phone: ,(479) 790-0593,None,None,None,jckeith@cs2ee.com,Fax:  ,None,None,None,None,http://www.cs2ee.com,None,None,"P.O. Box 7503 124 North Shiloh Springdale, AR 72766",None,None
"Engineering Services, Inc.",None,None,Brian Moore,Phone: ,(479) 751-8733,bmoore@engineeringservices.com,Fax:  ,(479) 751-8746,None,None,None,http://www.engineeringservices.com,None,None,"1207 South Old Missouri Rd. Springdale, AR 72764",None,None,None,None,None
Garver,None,None,Mr. Adam T. White,Phone: ,(479) 527-9100,None,None,None,atwhite@garverusa.com,Fax:  ,(479) 527-9101,None,None,None,http://www.garverusa.com,None,None,"2049 East Joyce Blvd., Ste. 400 Fayetteville, AR 72703",None,None
"GTS, Inc.",None,None,Ms. Desi Baker,Phone: ,(479) 521-7645,None,None,None,david.berry@gtsconsulting.net,Fax:  ,None,None,None,None,https://gtsconsulting.net/,None,None,"1915 North Shiloh Dr. #1 Fayetteville, AR 72704",None,None
"McClelland Consulting Engineers, Inc.",None,None,Mr. Daniel Barnes,Phone: ,(479) 443-2377,None,None,None,dbarnes@mce.us.com,Fax:  ,(479) 443-9241,None,None,None,http://www.mce.us.com,None,None,"1580 East Stearns Fayetteville, AR 72703",None,None
Olsson,None,None,Mr. Brad Hammond,Phone: ,(479) 443-3404,bhammond@olsson.com,Fax:  ,(479) 443-4340,None,None,None,https://www.olsson.com,None,None,"302 East Millsap Rd. Fayetteville, AR 72703",None,None,None,None,None
Arts Center of the Ozarks,None,None,Mr. Bryan Gott,Phone: ,(479) 751-5441,None,None,None,info@acozarks.org,Fax:  ,(479) 927-0308,None,None,None,http://www.acozarks.org,None,None,"214 South Main St. Springdale, AR 72764-0000",None,None
Buffalo Outdoor Center,None,None,Mr. Austin Albers,Phone: ,(870) 861-5514,None,None,None,austin@buffaloriver.com,Fax:  ,(870) 861-5501,None,None,None,www.buffaloriver.com,None,None,"1 Main St. Ponca, AR 72670",None,None
Cherokee Casino & Hotel West Siloam Springs,None,None,Ms. Shannon Jennings,Phone: ,(800) 754-4111,None,None,None,shannon.jennings@cnent.com,Fax:  ,(918) 422-6229,None,None,None,http://www.cherokeecasino.com,None,None,"2416 Highway 412 Colcord, OK 74338",None,None
Crystal Bridges Museum of American Art,None,None,Ms. Peggy Boyles,Phone: ,(479) 418-5700,None,None,None,info@crystalbridges.org,Fax:  ,(479) 418-5701,None,None,None,http://www.crystalbridges.org,None,None,"600 Museum Way Bentonville, AR 72712",None,None
Lokomotion Family Fun Park,None,None,Zacc Arnold,Phone: ,(479) 582-5656,zacc.arnold@lokomotion.com,Fax:  ,None,None,None,None,http://www.lokomotion.com,None,None,"4520 North College Ave. Fayetteville, AR 72703-0000",None,None,None,None,None
NWA Naturals Baseball - Rich Baseball,None,None,Mr. Justin Cole,Phone: ,(479) 927-4900,justin@nwanaturals.com,Fax:  ,(479) 756-8088,None,None,None,http://www.nwanaturals.com,None,None,"3000 Gene George Blvd. Springdale, AR 72762",None,None,None,None,None
"The Odd Soul, LLP",None,None,Mr. Jeffro Brown,Phone: ,(479) 927-6399,None,None,None,welovebeer@theoddsoul.com,Fax:  ,None,None,None,None,http://www.theoddsoul.com,None,None,"126 West Emma Ave. Springdale, AR 72764",None,None
Opera in the Ozarks,None,None,Ms. Nancy J. Preis,Phone: ,(479) 253-8595,None,None,None,generaldirector@opera.org,Fax:  ,None,None,None,None,http://www.opera.org,None,None,"16311 Hwy 62 West Eureka Springs, AR 72632",None,None
Rodeo of the Ozarks,None,None,Rick Culver,Phone: ,(479) 756-0464,None,None,None,rodeo@rodeooftheozarks.org,Fax:  ,(479) 756-6582,None,None,None,https://springdalebenevolentfoundation.com/,None,None,"1423 East Emma Ave. Springdale, AR 72764-0000",None,None
Summit Aviation,None,None,Mr. Daniel Hughes,Phone: ,(479) 751-4462,danielh@iflysummit.com,Fax:  ,(479) 75-2646,None,None,None,www.summitaviationkasg.com,None,None,"802 Airport Ave. Springdale, AR 72764",None,None,None,None,None
The Scott Family Amazeum,None,None,Ms. Jill Gabe,Phone: ,(479) 696-9280,None,None,None,jgabe@amazeum.org,Fax:  ,(479) 696-7938,None,None,None,http://www.amazeum.org,None,None,"1009 Museum Way Bentonville, AR 72712",None,None
Turpentine Creek Wildlife Refuge,None,None,Ms. Cheryl King,Phone: ,(479) 253-5841,None,None,None,tigers@turpentinecreek.org,Fax:  ,None,None,None,None,http://www.turpentinecreek.org,None,None,"239 Turpentine Creek Ln. Eureka Springs, AR 72632",None,None
"City Title & Closing, LLC",None,None,Mr. Blake Hanby,Phone: ,(479) 935-4177,None,None,None,blake.hanby@citytitlellc.com,Fax:  ,(866) 889-7709,None,None,None,http://www.citytitlellc.com,None,None,"3790 North Bellafont Blvd., Ste. 3 Fayetteville, AR 72703",None,None
"Realty Title & Closing Services, LLC",None,None,Ms. Donna Stewart,Phone: ,(479) 582-9383,None,None,None,dstewart@realtytitleinc.com,Fax:  ,(479) 582-2925,None,None,None,http://www.realtytitleinc.com,None,None,"3866 West Sunset Ave Springdale, AR 72762",None,None
WACO Title Company,None,None,Ms. Sara Heck,Phone: ,(479) 770-6700,sheck@wacotitle.com,Fax:  ,(479) 770-6801,None,None,None,http://www.wacotitle.com,None,None,"2592 South 48th St. Springdale, AR 72762",None,None,None,None,None
"Cornerstone Wealth Management, LLC",None,None,Mr. Simon Pockrus,Phone: ,(479) 751-3373,simon.pockrus@live.com,Fax:  ,(888) 878-9096,None,None,None,http://www.mycwmusa.com,None,None,"4700 South Thompson St., Ste. C-101 Springdale, AR 72764",None,None,None,None,None
Edward Jones - Don Ogden,None,None,Mr. Don W. Ogden,Phone: ,(479) 927-2194,None,None,None,don.ogden@edwardjones.com,Fax:  ,None,None,None,None,www.edwardjones.com,None,None,"201 West Emma Ave., Ste. E Springdale, AR 72764",None,None
H & R Block Old Missouri,None,None,Mr. Micheal Stevens,Phone: ,(479) 927-0424,None,None,None,jmichael.stevens@hrblock.com,Fax:  ,None,None,None,None,www.hrblock.com,None,None,"2111 South Old Missouri Rd., Ste. D Springdale, AR 72764",None,None
Human Interest,None,None,Ms. Anne Thomas,Phone: ,(501) 920-4838,None,None,None,anne.thomas@humaninterest.com,Fax:  ,None,None,None,None,http://www.humaninterest.com,None,None,"10252 South Whitehouse Rd. Fayetteville, AR 72701",None,None
Insurance Advantage & LMA Financial Services,None,None,Ms. Lisa Bamburg,Phone: ,(479) 347-2039,None,None,None,info@ia-office.com,Fax:  ,None,None,None,None,http://www.ia-office.com,None,None,"7253 West Sunset, Ste. B Springdale, AR 72762",None,None
New Wave Wealth Advisors,None,None,Ms. Hannah Stanley,Phone: ,(479) 877-2525,hannah.stanley@newwavewealthadvisors.com,Fax:  ,None,None,None,None,http://www.newwavewealthadvisors.com,None,None,"4403 South Thompson St., Unit 1 Springdale, AR 72764",None,None,None,None,None
Northwestern Mutual - Matthew Fritchie,None,None,Mr. Matthew Fritchie,Phone: ,(479) 443-1339,None,None,None,matthew.fritchie@nm.com,Fax:  ,(479) 443-5224,None,None,None,http://www.northwesternmutual.com,None,None,"234 East Millsap Rd., Ste. 100 Fayetteville, AR 72703",None,None
"The Point Financial Group, Inc.",None,None,Jim Blount,Phone: ,(479) 872-9998,None,None,None,jim.blount@pointfg.com,Fax:  ,(479) 872-2614,None,None,None,http://www.pointfg.com,None,None,"6576 Lynch's Prairie Cove, Ste. A Springdale, AR 72762",None,None
Solid Rock Financial Planning,None,None,Mr. Tim Burress,Phone: ,(479) 320-2122,tim.burress@solidrockfinancialplanning.com,Fax:  ,(888) 474-0154,None,None,None,http://www.solidrockfinancialplanning.com,None,None,"2861 South Barrington Rd. Tontitown, AR 72762",None,None,None,None,None
1-800 Water Damage of Rogers and Bentonville,None,None,Mrs. Maria Reyes,Phone: ,(479) 480-5070,maria.reyes@1800waterdamage.com,Fax:  ,None,None,None,None,http://www.1800waterdamage.com/rogers-bentonville,None,None,"1533 North Greenwood Ave. Fort Smith, AR 72901",None,None,None,None,None
"Pruden Restoration, LLC",None,None,Mr. Joel Pruden,Phone: ,(479) 419-9500,None,None,None,joel@prudenrestoration.com,Fax:  ,None,None,None,None,http://www.prudenrestoration.com,None,None,"128 West Emma Ave. Springdale, AR 72764",None,None
Service Master By Quality Restoration,None,None,Mr. Mike Haney,Phone: ,(479) 756-4169,None,None,None,claims@servicemasterqr.com,Fax:  ,(479) 717-2549,None,None,None,www.servicemasterqr.com,None,None,"100 East Robinson Ave. Springdale, AR 72764",None,None
SERVPRO,None,None,Mr. Brian Devecsery,Phone: ,(479) 790-4088,None,None,None,b.devecsery@servproteamjones.com,Fax:  ,(479) 419-5573,None,None,None,http://www.servprofayettevillespringdale.com,None,None,"228 East Robinson Ave. Springdale, AR 72764",None,None
Food Safety Net Services ,None,None,Ms. Elizabeth Kirchman,Phone: ,(479) 231-1024,elizabeth.kirchman@fsns.com,Fax:  ,None,None,None,None,www.FSNS.com,None,None,"3559 North Thompson St. Springdale, AR 72764",None,None,None,None,None
"Brashears Furniture, Inc.",None,None,Ms. Cathy Ellis,Phone: ,(479) 751-7222,None,None,None,cathy@brashears.com,Fax:  ,None,None,None,None,http://www.brashears.com,None,None,"4900 South Thompson Springdale, AR 72764",None,None
James + James,None,None,Mr. James Smith,Phone: ,(479) 633-7557,None,None,None,sales@carpenterjames.com,Fax:  ,None,None,None,None,http://www.carpenterjames.com,None,None,"111 South Main St. Springdale, AR 72764",None,None
Precious Cargo,None,None,Mr. Steve Purtle,Phone: ,(479) 444-7300,cargo456@gmail.com,Fax:  ,None,None,None,None,http://www.preciouscargofurniture.com,None,None,"3932 South Thompson St. Springdale, AR 72764",None,None,None,None,None
Sam's Furniture,None,None,Mr. Joe Donaldson,Phone: ,(479) 756-8191,joe@samsfurniture.net,Fax:  ,(479) 756-2016,None,None,None,http://www.samsfurniture.net,None,None,"4326 Hidden Creek Ln. Springdale, AR 72762",None,None,None,None,None
Sam's Furniture Design Gallery,None,None,Mr. Joe Donaldson,Phone: ,(479) 318-2751,joe@samsfurniture.net,Fax:  ,None,None,None,None,http://www.samsfurniture.net,None,None,"4576 Hidden Creek Lane Springdale, AR 72762",None,None,None,None,None
Sam's Furniture Outlet,None,None,Mr. Joe Donaldson,Phone: ,(479) 347-2329,joe@samsfurniture.net,Fax:  ,None,"4246 Hidden Creek Lane Springdale, AR 72762",None,None,None,None,None,Straight's Lawn and Garden,None,None,Sandy Straight,Phone: ,(479) 751-2233
Straight's Lawn and Garden,None,None,Sandy Straight,Phone: ,(479) 751-2233,None,None,None,shopstraights@yahoo.com,Fax:  ,(479) 751-0313,None,None,None,http://www.shopstraights.com,None,None,"3218 North Thompson St. Springdale, AR 72764-0000",None,None
Springdale Country Club,None,None,Mr. Casey Wroot,Phone: ,(479) 872-2166,casey@springdalecc.com,Fax:  ,(479) 872-2166,None,None,None,http://www.springdalecc.com,None,None,"608 Lakeview Dr. Springdale, AR 72764-0000",None,None,None,None,None
10 Box Cost-Plus,None,None,Mr. Jason Parker,Phone: ,(479) 751-2528,None,Fax:  ,None,None,None,None,https://www.10boxcostplus.com/,None,None,"1101 South Thompson St. Springdale, AR 72764",None,None,None,None,None
El Mercado,None,None,William Manzo,Phone: ,(479) 751-6207,None,None,None,william.manzo@losaltostortilla.com,Fax:  ,(479) 751-6229,None,None,None,https://losaltostortilla.com/,None,None,"1930 East Mountain Rd. Springdale, AR 72764",None,None
Harps Food Stores # 119,None,None,Ms. Sarah Thacker,Phone: ,(479) 751-6850,sthacker@harpsfood.com,Fax:  ,None,None,None,None,https://www.harpsfood.com/,None,None,"2894 West Sunset Ave. Springdale, AR 72762",None,None,None,None,None
Harps Food Stores #123,None,None,Mr. Nate Coffman,Phone: ,(479) 361-1900,None,Fax:  ,None,None,None,None,https://www.harpsfood.com/,None,None,"1007 Jones Rd. Springdale, AR 72762",None,None,None,None,None
Harps Food Stores #170,None,None,Mr. Kevin Wright,Phone: ,(479) 927-3300,None,Fax:  ,None,None,None,None,https://www.harpsfood.com/,None,None,"1945 Butterfield Coach Rd. Springdale, AR 72764",None,None,None,None,None
